Ngày,Mô tả,Số tiền,Danh mục,Ví,Loại giao dịch
30/06/2026,Bún chả,104913,Ăn uống,Tiền mặt,Chi tiêu
30/06/2026,Gửi xe máy,58857,Di chuyển,Tiền mặt,Chi tiêu
30/06/2026,Cơm gà,47425,Ăn uống,Tiền mặt,Chi tiêu
29/06/2026,Cháo sườn,59486,Ăn uống,Tiền mặt,Chi tiêu
29/06/2026,Bún riêu,46853,Ăn uống,Tiền mặt,Chi tiêu
29/06/2026,Mua túi xách,271002,Mua sắm,Tiền mặt,Chi tiêu
29/06/2026,Cháo sườn,83461,Ăn uống,Tiền mặt,Chi tiêu
28/06/2026,Phở bò,94349,Ăn uống,Tiền mặt,Chi tiêu
28/06/2026,Cà phê sữa,52921,Ăn uống,Tiền mặt,Chi tiêu
28/06/2026,Grab ô tô,41651,Di chuyển,Tiền mặt,Chi tiêu
27/06/2026,Sạc dự phòng,1155004,Điện tử,Tiền mặt,Chi tiêu
27/06/2026,Mua áo,421719,Mua sắm,Tiền mặt,Chi tiêu
27/06/2026,Bánh mì,72867,Ăn uống,Tiền mặt,Chi tiêu
27/06/2026,Bánh mì,103033,Ăn uống,Tiền mặt,Chi tiêu
26/06/2026,Hóa đơn siêu thị,250000,Tạp hóa,Tiền mặt,Chi tiêu
26/06/2026,Gửi xe máy,70313,Di chuyển,Tiền mặt,Chi tiêu
26/06/2026,Xôi sáng,39330,Ăn uống,Tiền mặt,Chi tiêu
26/06/2026,Cơm gà,60901,Ăn uống,Tiền mặt,Chi tiêu
25/06/2026,Cơm gà,35690,Ăn uống,Tiền mặt,Chi tiêu
25/06/2026,Cháo sườn,109695,Ăn uống,Tiền mặt,Chi tiêu
24/06/2026,Gửi xe máy,26990,Di chuyển,Tiền mặt,Chi tiêu
24/06/2026,Hủ tiếu,70163,Ăn uống,Tiền mặt,Chi tiêu
24/06/2026,Hủ tiếu,69786,Ăn uống,Tiền mặt,Chi tiêu
24/06/2026,WinMart,405816,Tạp hóa,Tiền mặt,Chi tiêu
23/06/2026,Bún bò Huế,85521,Ăn uống,Tiền mặt,Chi tiêu
23/06/2026,Bún riêu,26243,Ăn uống,Tiền mặt,Chi tiêu
23/06/2026,Mua giày,174520,Mua sắm,Tiền mặt,Chi tiêu
23/06/2026,Bún chả,81927,Ăn uống,Tiền mặt,Chi tiêu
22/06/2026,Cà phê sáng,32656,Ăn uống,Tiền mặt,Chi tiêu
22/06/2026,Đổ xăng xe máy,100766,Di chuyển,Tiền mặt,Chi tiêu
22/06/2026,Grab xe máy,63696,Di chuyển,Tiền mặt,Chi tiêu
22/06/2026,Phở bò,72568,Ăn uống,Tiền mặt,Chi tiêu
22/06/2026,Trà sữa,89143,Ăn uống,Tiền mặt,Chi tiêu
21/06/2026,Cà phê sữa,70064,Ăn uống,Tiền mặt,Chi tiêu
21/06/2026,Cơm gà,94583,Ăn uống,Tiền mặt,Chi tiêu
20/06/2026,Thu nhập freelance,3040797,Khác,Tiền mặt,Thu nhập
20/06/2026,Phở bò,66963,Ăn uống,Tiền mặt,Chi tiêu
20/06/2026,test,500000,Khác,Tiền mặt,Chi tiêu
20/06/2026,Vay của Quỳnh,50000,Khác,Tiền mặt,Thu nhập
20/06/2026,rửa xe,30000,Di chuyển,Tiền mặt,Chi tiêu
20/06/2026,ăn phở,50000,Ăn uống,Tiền mặt,Chi tiêu
19/06/2026,Cơm tấm,39563,Ăn uống,Tiền mặt,Chi tiêu
19/06/2026,Đổ xăng xe,77713,Di chuyển,Tiền mặt,Chi tiêu
19/06/2026,Cháo sườn,66203,Ăn uống,Tiền mặt,Chi tiêu
19/06/2026,Bánh mì,27508,Ăn uống,Tiền mặt,Chi tiêu
18/06/2026,Đổ xăng xe,25297,Di chuyển,Tiền mặt,Chi tiêu
18/06/2026,Cà phê sáng,33589,Ăn uống,Tiền mặt,Chi tiêu
18/06/2026,Trà sữa,47164,Ăn uống,Tiền mặt,Chi tiêu
18/06/2026,Hủ tiếu,98837,Ăn uống,Tiền mặt,Chi tiêu
18/06/2026,WinMart,201646,Tạp hóa,Tiền mặt,Chi tiêu
18/06/2026,Xem phim rạp,224183,Giải trí,Tiền mặt,Chi tiêu
17/06/2026,Cà phê sữa,63144,Ăn uống,Tiền mặt,Chi tiêu
17/06/2026,Bánh mì,37108,Ăn uống,Tiền mặt,Chi tiêu
16/06/2026,Hủ tiếu,50898,Ăn uống,Tiền mặt,Chi tiêu
16/06/2026,Bánh mì,42323,Ăn uống,Tiền mặt,Chi tiêu
16/06/2026,Grab ô tô,69291,Di chuyển,Tiền mặt,Chi tiêu
16/06/2026,Bún riêu,36210,Ăn uống,Tiền mặt,Chi tiêu
15/06/2026,Cà phê sữa,60083,Ăn uống,Tiền mặt,Chi tiêu
14/06/2026,Gửi xe máy,73051,Di chuyển,Tiền mặt,Chi tiêu
14/06/2026,Bún chả,65467,Ăn uống,Tiền mặt,Chi tiêu
13/06/2026,Mua áo,556777,Mua sắm,Tiền mặt,Chi tiêu
13/06/2026,Cháo sườn,76791,Ăn uống,Tiền mặt,Chi tiêu
13/06/2026,Bún chả,38839,Ăn uống,Tiền mặt,Chi tiêu
13/06/2026,Cà phê sáng,21421,Ăn uống,Tiền mặt,Chi tiêu
13/06/2026,Đổ xăng xe máy,164754,Di chuyển,Tiền mặt,Chi tiêu
12/06/2026,Bánh mì,23719,Ăn uống,Tiền mặt,Chi tiêu
12/06/2026,Hủ tiếu,61535,Ăn uống,Tiền mặt,Chi tiêu
12/06/2026,Hủ tiếu,93770,Ăn uống,Tiền mặt,Chi tiêu
11/06/2026,Bún chả,100674,Ăn uống,Tiền mặt,Chi tiêu
11/06/2026,Bánh mì,28758,Ăn uống,Tiền mặt,Chi tiêu
11/06/2026,Cơm gà,55886,Ăn uống,Tiền mặt,Chi tiêu
11/06/2026,Vé xe buýt,62519,Di chuyển,Tiền mặt,Chi tiêu
