Title,Budget,Cost,Date,Ex/In,Special,Type Expenses,Type In come
luong shopee,64361,"₫64,361",04/12/2024,In-come,,,Salary
xin mẹ tiền ăn,190000,"₫190,000",03/12/2024,In-come,,,Family
xin mẹ tiền tuần,147000,"₫147,000",17/11/2024,In-come,,,Family
xin mẹ tiền tuần,139000,"₫139,000",10/11/2024,In-come,,,Family
lời MFS,819000,"₫819,000",09/11/2024,In-come,,,Invest
xin mẹ tiền tuần,570000,"₫570,000",04/11/2024,In-come,,,Family
xin mẹ tiền tuần,505000,"₫505,000",27/10/2024,In-come,,,Family
xin mẹ tiền tuần,470000,"₫470,000",21/10/2024,In-come,,,Family
xin mẹ tiền xnagw,100000,"₫100,000",20/10/2024,In-come,,,Family
tiền võng,100000,"₫100,000",17/10/2024,In-come,,,Sell old things
DNSE,200000,"₫200,000",17/10/2024,In-come,,,Invest
xin mẹ tiền ăn,801000,"₫801,000",14/10/2024,In-come,,,Family
xin tiền mẹ đánh cầu,80000,"₫80,000",13/10/2024,In-come,,,Family
xin mẹ tiền ăn,470000,"₫470,000",06/10/2024,In-come,,,Family
mẹ cho tiền tuần,496000,"₫496,000",30/09/2024,In-come,,,Family
mẹ cho tiền đổ xăng,74000,"₫74,000",28/09/2024,In-come,,,Family
xin mẹ tiền tuần,350000,"₫350,000",24/09/2024,In-come,,,Family
xin tiền mẹ đi chơi,118000,"₫118,000",23/09/2024,In-come,,,Family
vay vốn sinh viên 2024,40000000,"₫40,000,000",16/09/2024,In-come,"BigY, Vay",,Cho vay
xin mẹ tiền tuần,400000,"₫400,000",10/09/2024,In-come,,,Family
xin tiền mẹ bida,101000,"₫101,000",06/09/2024,In-come,,,Family
dì chín cho tiền học,200000,"₫200,000",04/09/2024,In-come,,,Clan
xin mẹ tiền tuần,300000,"₫300,000",04/09/2024,In-come,,,Family
xin mẹ tiền đi chơi,400000,"₫400,000",04/09/2024,In-come,,,Family
xin mẹ tiền ăn,450000,"₫450,000",26/08/2024,In-come,,,Family
xin tiền mẹ đánh cầu,50000,"₫50,000",25/08/2024,In-come,,,Family
xin mẹ tiền đánh bida,50000,"₫50,000",23/08/2024,In-come,,,Family
xin mẹ tiền tuần ,353000,"₫353,000",20/08/2024,In-come,,,Family
xin mẹ tiền vé show ,200000,"₫200,000",20/08/2024,In-come,,,Family
xin tiền mẹ đi chơi,75000,"₫75,000",17/08/2024,In-come,,,Family
phát bao bida,15000,"₫15,000",17/08/2024,In-come,,,Anh em
lượm,20000,"₫20,000",14/08/2024,In-come,,,Luck
xin mẹ tiền tuần,406000,"₫406,000",12/08/2024,In-come,,,Family
dượng 3 + mợ 5 cho tiền,300000,"₫300,000",11/08/2024,In-come,,,Clan
ứng trước tiền tuần ,200000,"₫200,000",11/08/2024,In-come,,,Family
mẹ cho tiền chơi,15000,"₫15,000",11/08/2024,In-come,,,Family
xin mẹ tiền tuần,570000,"₫570,000",05/08/2024,In-come,,,Family
xin mẹ tiền đánh cầu,130000,"₫130,000",03/08/2024,In-come,,,Family
xin tiền mẹ đóng ktx,1500000,"₫1,500,000",26/07/2024,In-come,,,Family
xin mẹ tiền đánh cầu,385000,"₫385,000",25/07/2024,In-come,,,Family
mẹ cho tiền đi ctho,100000,"₫100,000",23/07/2024,In-come,,,Family
xin mẹ tiền đánh cầu,125000,"₫125,000",22/07/2024,In-come,,,Family
mẹ cho tiền ăn + tiền đóng ktx,300000,"₫300,000",15/07/2024,In-come,,,Family
xin mẹ tiền đi chơi,103000,"₫103,000",14/07/2024,In-come,,,Family
xin mẹ tiền đánh cầu,87000,"₫87,000",12/07/2024,In-come,,,Family
xin tiền trả xe để trả shopeee,250000,"₫250,000",08/07/2024,In-come,,,Family
mẹ cho tiền ăn + xin tiền trả xe để trả shopeee,380000,"₫380,000",08/07/2024,In-come,,,Family
xin tiền mẹ đi chơi,20000,"₫20,000",05/07/2024,In-come,,,Family
xin mẹ tiền tuần,350000,"₫350,000",01/07/2024,In-come,,,Family
mẹ cho tiền đi chơi ,100000,"₫100,000",30/06/2024,In-come,,,Family
